problem,scenario,target_ton,product_ton,total_use_mwh,renewable_mwh,buy_mwh,sell_mwh,self_use_ratio,green_ratio,export_ratio,margin_self_use,margin_green,margin_export,status,running_cost_yuan,comprehensive_cost_yuan,running_cost_per_ton,comprehensive_cost_per_ton
P3,风电场景1-光伏场景1,72,71.99999999999997,1056.7199999999998,761.7639999999999,430.27999999999975,135.324,0.644708859961878,0.5928155045802104,0.17764557001906106,0.04470885996187801,0.2928155045802104,0.02235442998093895,full,387678.32039999973,391011.65373333305,5384.4211166666655,5430.717412962961
P3,风电场景1-光伏场景1,63,62.99999999999999,932.2199999999999,761.7639999999999,305.7799999999999,135.324,0.6447088599618781,0.6719872991353971,0.17764557001906106,0.04470885996187812,0.37198729913539713,0.02235442998093895,full,277379.93039999995,280713.26373333327,4402.856038095238,4455.76609100529
P3,风电场景1-光伏场景1,54,54.0,807.72,761.7639999999999,238.92020000000002,192.9642,0.4933753761007347,0.7042041796662208,0.2533123119496327,-0.1066246238992653,0.40420417966622085,-0.05331231194963271,partial,199978.0563,203311.38963333334,3703.297338888889,3765.0257339506175
P3,风电场景1-光伏场景1,45,45.0,683.22,761.7639999999999,238.92020000000002,317.4642,0.1665024863343503,0.6503026843476477,0.4167487568328249,-0.4334975136656497,0.3503026843476477,-0.2167487568328249,partial,137920.50629999998,141253.83963333332,3064.9001399999997,3138.9742140740736
P3,风电场景1-光伏场景1,36,36.0,558.72,761.7639999999999,238.92020000000002,441.9642,-0.1603704034320341,0.5723793671248566,0.5801852017160172,-0.7603704034320341,0.2723793671248566,-0.38018520171601716,partial,75862.95629999999,79196.28963333332,2107.3043416666665,2199.896934259259
P3,风电场景1-光伏场景2,72,71.99999999999997,1056.7199999999998,503.204,560.9661999999997,7.450200000000002,0.9703889476236279,0.4691439548792491,0.014805526188186108,0.37038894762362795,0.1691439548792491,0.1851944738118139,full,486504.5972999998,489837.9306333331,6757.008295833333,6803.304592129629
P3,风电场景1-光伏场景2,63,62.999999999999986,932.2199999999998,503.204,436.46619999999984,7.450200000000002,0.9703889476236277,0.5317991461243056,0.014805526188186108,0.37038894762362773,0.23179914612430558,0.1851944738118139,full,371596.79729999986,374930.1306333332,5898.361861904761,5951.2719148148135
P3,风电场景1-光伏场景2,54,54.0,807.72,503.204,311.9662000000001,7.450200000000002,0.9703889476236277,0.6137693755261724,0.014805526188186108,0.37038894762362773,0.3137693755261724,0.1851944738118139,full,279693.53729999997,283026.8706333333,5179.50995,5241.238345061727
P3,风电场景1-光伏场景2,45,44.999999999999986,683.2199999999999,503.204,253.0002,72.9842000000001,0.7099220196977762,0.6296943883375778,0.14503899015111188,0.10992201969777626,0.32969438833757786,0.05496100984888813,full,204103.29029999996,207436.6236333333,4535.628673333334,4609.702747407408
P3,风电场景1-光伏场景2,36,36.0,558.72,503.204,253.0002,197.4842,0.21509288479423858,0.5471789089347079,0.3924535576028807,-0.3849071152057614,0.2471789089347079,-0.1924535576028807,partial,142045.7403,145379.07363333335,3945.7150083333336,4038.307600925926
P3,风电场景1-光伏场景3,72,71.99999999999997,1056.7199999999998,337.44399999999996,719.2759999999996,0.0,1.0000000000000007,0.31933151639033996,0.0,0.4000000000000007,0.019331516390339976,0.2,full,584475.8113999997,587809.144733333,8117.719602777776,8164.015899074073
P3,风电场景1-光伏场景3,63,62.99999999999999,932.22,337.44399999999996,594.7760000000001,8.881784197001252e-16,1.0,0.36197893201175685,2.632076491803456e-18,0.4,0.06197893201175686,0.2,full,469568.01139999996,472901.3447333333,7453.460498412699,7506.370551322751
P3,风电场景1-光伏场景3,54,54.0,807.72,337.44399999999996,470.27600000000007,4.440892098500626e-15,1.0,0.4177734858614371,1.3160382459017278e-17,0.4,0.1177734858614371,0.2,full,358775.14040000003,362108.47373333335,6643.9840814814825,6705.71247654321
P3,风电场景1-光伏场景3,45,44.99999999999999,683.2199999999999,337.44399999999996,345.77599999999995,4.440892098500626e-15,1.0,0.49390240332542956,1.3160382459017278e-17,0.4,0.19390240332542957,0.2,full,268144.8404,271478.1737333333,5958.7742311111115,6032.848305185185
P3,风电场景1-光伏场景3,36,36.0,558.72,337.44399999999996,253.0002,31.72420000000001,0.8119735422766446,0.5471789089347078,0.09401322886167783,0.21197354227664467,0.2471789089347078,0.10598677113832218,full,184795.24430000002,188128.57763333336,5133.201230555556,5225.793823148149
P3,风电场景1-光伏场景4,72,71.99999999999999,1056.7199999999998,272.804,783.9159999999999,0.0,0.9999999999999996,0.2581611022787494,0.0,0.3999999999999996,-0.0418388977212506,0.2,partial,623968.5473999998,627301.8807333332,8666.229824999999,8712.526121296296
P3,风电场景1-光伏场景4,63,62.99999999999999,932.2199999999998,272.804,659.4159999999999,0.0,0.9999999999999996,0.29263907661281674,0.0,0.3999999999999996,-0.007360923387183249,0.2,partial,509060.74739999993,512394.08073333325,8080.329323809524,8133.239376719576
P3,风电场景1-光伏场景4,54,54.0,807.72,272.804,534.916,3.552713678800501e-15,1.0,0.3377457534789283,1.3022953031482315e-17,0.4,0.037745753478928334,0.2,full,394152.9474,397486.2807333333,7299.128655555555,7360.857050617284
P3,风电场景1-光伏场景4,45,44.99999999999999,683.2199999999999,272.804,410.41599999999994,3.552713678800501e-15,1.0,0.39929158982465385,1.3022953031482315e-17,0.4,0.09929158982465386,0.2,full,299715.11639999994,303048.44973333325,6660.3359199999995,6734.409994074073
P3,风电场景1-光伏场景4,36,36.0,558.72,272.804,285.916,5.329070518200751e-15,1.0000000000000002,0.48826603665521184,1.9534429547223473e-17,0.40000000000000024,0.18826603665521185,0.19999999999999998,full,209084.8164,212418.14973333335,5807.911566666667,5900.50415925926
P3,风电场景2-光伏场景1,72,72.0,1056.7199999999998,658.904,487.4279999999998,89.61199999999998,0.7279967946772216,0.5387349534408359,0.1360016026613892,0.12799679467722158,0.2387349534408359,0.06399839733861082,full,416899.6403999999,420232.97373333323,5790.272783333332,5836.5690796296285
P3,风电场景2-光伏场景1,63,63.0,932.22,658.904,362.928,89.61199999999998,0.7279967946772217,0.6106841732638219,0.1360016026613892,0.1279967946772217,0.31068417326382186,0.06399839733861082,full,306566.9304,309900.2637333333,4866.141752380952,4919.051805291006
P3,风电场景2-光伏场景1,54,54.0,807.7200000000001,658.904,276.6322,127.8161999999999,0.6120339229994055,0.6575147328282078,0.1939830385002973,0.012033922999405533,0.35751473282820784,0.006016961499702711,full,224704.49430000005,228037.8276333334,4161.194338888889,4222.922733950619
P3,风电场景2-光伏场景1,45,45.0,683.22,658.904,276.6322,252.31619999999998,0.23413365224676133,0.5951052369661309,0.38293317387661935,-0.3658663477532387,0.29510523696613095,-0.18293317387661934,partial,162646.94430000003,165980.27763333337,3614.3765400000007,3688.450614074075
P3,风电场景2-光伏场景1,36,35.99999999999999,558.7199999999999,658.904,276.6322,376.8162,-0.14376661850588263,0.5048822308132876,0.5718833092529412,-0.7437666185058827,0.20488223081328766,-0.37188330925294116,partial,100589.39430000001,103922.72763333334,2794.1498416666677,2886.74243425926
P3,风电场景2-光伏场景2,72,72.0,1056.72,400.34400000000005,656.376,0.0,1.0,0.3788553259141495,0.0,0.4,0.07885532591414951,0.2,full,527047.0314,530380.3647333334,7320.097658333333,7366.39395462963
P3,风电场景2-光伏场景2,63,63.0,932.22,400.34400000000005,531.876,1.4210854715202004e-14,1.0,0.4294522752140053,3.5496609703659857e-17,0.4,0.12945227521400532,0.19999999999999998,full,412139.2314,415472.5647333333,6541.892561904761,6594.802614814815
P3,风电场景2-光伏场景2,54,54.0,807.72,400.34400000000005,407.37600000000003,1.7763568394002505e-14,0.9999999999999999,0.49564700638835246,4.4370762129574824e-17,0.3999999999999999,0.19564700638835247,0.19999999999999996,full,317661.6204000001,320994.9537333334,5882.6226000000015,5944.350995061729
P3,风电场景2-光伏场景2,45,45.0,683.2199999999999,400.34400000000005,290.71220000000005,7.836200000000053,0.9608526667066316,0.5744969409560611,0.01957366664668398,0.36085266670663163,0.2744969409560611,0.18042633335331604,full,228829.7283,232163.06163333333,5085.105073333333,5159.179147407407
P3,风电场景2-光伏场景2,36,36.0,558.72,400.34400000000005,290.71220000000005,132.3362,0.33888755670123694,0.4796817726231387,0.3305562216493815,-0.26111244329876304,0.17968177262313872,-0.13055622164938147,partial,166772.1783,170105.51163333334,4632.560508333333,4725.153100925926
P3,风电场景2-光伏场景3,72,72.0,1056.72,234.584,822.136,0.0,1.0000000000000002,0.22199258081611023,0.0,0.40000000000000024,-0.07800741918388976,0.2,partial,628180.8554,631514.1887333334,8724.734102777778,8771.030399074074
P3,风电场景2-光伏场景3,63,63.000000000000014,932.2200000000003,234.584,697.6360000000002,0.0,1.0000000000000002,0.25164017077513884,0.0,0.40000000000000024,-0.04835982922486115,0.2,partial,513273.0554000002,516606.3887333335,8147.191355555557,8200.101408465609
P3,风电场景2-光伏场景3,54,54.0,807.72,234.584,573.1360000000001,0.0,0.9999999999999998,0.2904273758233051,0.0,0.3999999999999998,-0.00957262417669491,0.2,partial,398453.0444000001,401786.3777333334,7378.760081481483,7440.488476543211
P3,风电场景2-光伏场景3,45,44.99999999999999,683.2199999999999,234.584,448.63599999999997,0.0,0.9999999999999998,0.3433506044905009,0.0,0.3999999999999998,0.04335060449050093,0.2,full,307822.74439999997,311156.0777333333,6840.505431111112,6914.579505185186
P3,风电场景2-光伏场景3,36,36.0,558.72,234.584,324.13599999999997,0.0,1.0000000000000002,0.41985967926689577,0.0,0.40000000000000024,0.11985967926689578,0.2,full,217192.44440000004,220525.77773333338,6033.123455555557,6125.71604814815
P3,风电场景2-光伏场景4,72,72.0,1056.72,169.94400000000002,886.7760000000001,0.0,0.9999999999999997,0.16082216670451965,0.0,0.3999999999999997,-0.13917783329548034,0.2,partial,667673.5913999999,671006.9247333333,9273.244325,9319.540621296295
P3,风电场景2-光伏场景4,63,63.000000000000014,932.2200000000003,169.94400000000002,762.2760000000003,0.0,0.9999999999999997,0.18230031537619873,0.0,0.3999999999999997,-0.11769968462380126,0.2,partial,552765.7914000002,556099.1247333336,8774.060180952383,8826.970233862436
P3,风电场景2-光伏场景4,54,54.0,807.72,169.94400000000002,637.7760000000001,1.7763568394002505e-15,0.9999999999999997,0.21039964344079634,1.0452601088595363e-17,0.3999999999999997,-0.08960035655920365,0.2,partial,437857.9914,441191.3247333333,8108.481322222222,8170.20971728395
P3,风电场景2-光伏场景4,45,45.0,683.2199999999998,169.94400000000002,513.276,1.7763568394002505e-15,0.999999999999999,0.24873979098972523,1.0452601088595363e-17,0.399999999999999,-0.051260209010274754,0.2,partial,340482.71939999994,343816.05273333326,7566.282653333332,7640.356727407406
P3,风电场景2-光伏场景4,36,36.0,558.72,169.94400000000002,388.776,1.7763568394002505e-15,1.0,0.3041666666666667,1.0452601088595363e-17,0.4,0.004166666666666707,0.2,full,249852.4194,253185.75273333336,6940.344983333333,7032.9375759259265
P3,风电场景3-光伏场景1,72,71.99999999999999,1056.7199999999998,780.8399999999999,402.24819999999977,126.36819999999999,0.6763275446954563,0.6193426830191536,0.1618362276522719,0.07632754469545633,0.31934268301915364,0.03816377234772811,full,377040.3618999998,380373.6952333331,5236.671693055554,5282.96798935185
P3,风电场景3-光伏场景1,63,63.0,932.2199999999999,780.8399999999999,277.7481999999999,126.36819999999999,0.6763275446954563,0.7020572397073652,0.1618362276522719,0.07632754469545633,0.40205723970736523,0.03816377234772811,full,268674.07089999993,272007.40423333325,4264.667792063491,4317.5778449735435
P3,风电场景3-光伏场景1,54,54.00000000000001,807.72,780.8399999999999,220.9844,194.1043999999999,0.5028318221402593,0.7264096469073441,0.2485840889298703,-0.09716817785974063,0.4264096469073441,-0.04858408892987029,partial,194209.80580000003,197543.13913333337,3596.477885185185,3658.206280246914
P3,风电场景3-光伏场景1,45,45.0,683.22,780.8399999999999,220.9844,318.6044,0.18394447005788644,0.6765545505108163,0.40802776497105686,-0.41605552994211353,0.37655455051081627,-0.20802776497105685,partial,132152.2558,135485.58913333336,2936.716795555556,3010.79086962963
P3,风电场景3-光伏场景1,36,35.999999999999986,558.72,780.8399999999999,220.9844,443.1044000000001,-0.13494288202448657,0.6044809564719354,0.5674714410122434,-0.7349428820244865,0.30448095647193546,-0.36747144101224344,partial,70094.70579999995,73428.03913333328,1947.0751611111104,2039.667753703703
