problem,scenario,target_ton,product_ton,total_use_mwh,renewable_mwh,buy_mwh,sell_mwh,self_use_ratio,green_ratio,export_ratio,margin_self_use,margin_green,margin_export,status,running_cost_yuan,comprehensive_cost_yuan,running_cost_per_ton,comprehensive_cost_per_ton,battery_e_mwh,battery_p_mw,curtail_mwh,base_unserved_mwh
P4_storage,风电场景1-光伏场景1,max,42.11672526889501,643.3346995530476,761.7639999999999,0.0,0.0,0.8445328206019813,1.1840866045764828,0.0,0.24453282060198134,0.8840866045764828,0.2,full,169218.0588400939,176255.09587713095,4017.8351417333156,4184.9192868587725,20.0,5.0,112.83589425817493,0.0
P4_storage,风电场景1-光伏场景2,max,31.538015540240963,496.99588164,503.204,0.0,0.0,0.9876628199298892,1.0124912873312235,0.0,0.38766281992988927,0.7124912873312235,0.2,full,120549.09724927518,127586.13428631221,3822.3425026682617,4045.471222611282,20.0,5.0,2.4502000000000024,0.0
P4_storage,风电场景1-光伏场景3,max,19.801748070361448,334.64418163999994,337.44399999999996,0.0,0.0,0.9917028651865197,1.0083665532335835,0.0,0.39170286518651976,0.7083665532335834,0.2,full,81085.71519867277,88122.7522357098,4094.876619506082,4450.251155735528,20.0,5.0,0.0,0.0
P4_storage,风电场景1-光伏场景4,max,15.084038171277108,269.382528036,272.804,0.0,0.0,0.98745813124441,1.012701165101334,0.0,0.38745813124441,0.712701165101334,0.2,full,65461.347656966456,72498.3846940035,4339.776054241057,4806.298145814447,20.0,5.0,0.0,0.0
P4_storage,风电场景2-光伏场景1,max,37.78000099520155,583.343347100288,658.904,0.0,0.0,0.8853237301644671,1.1295303242512538,0.0,0.2853237301644671,0.8295303242512537,0.2,full,146556.84832633112,153593.88536336817,3879.2176936402243,4065.4812418579922,20.0,5.0,67.20108868896887,0.0
P4_storage,风电场景2-光伏场景2,max,24.451026749833872,398.95920337270195,400.34400000000005,0.0,0.0,0.9965409831862146,1.0034710231411919,0.0,0.39654098318621467,0.7034710231411918,0.2,full,93301.36227647297,100338.39931351,3815.846394961998,4103.647684823368,20.0,5.0,0.0,0.0
P4_storage,风电场景2-光伏场景3,max,12.413824011231466,232.44456548870193,234.584,0.0,0.0,0.9908798788012052,1.0092040633722712,0.0,0.3908798788012052,0.7092040633722712,0.2,full,53336.120509397006,60373.15754643404,4296.5101213889375,4863.381137980621,20.0,5.0,0.0,0.0
P4_storage,风电场景2-光伏场景4,max,7.476212876356526,164.14094478959862,169.94400000000002,0.0,0.0,0.9658531327354811,1.0353540989899865,0.0,0.36585313273548115,0.7353540989899865,0.2,full,37345.031006803896,44382.06804384093,4995.180263647562,5936.437174521732,20.0,5.0,0.0,0.0
P4_storage,风电场景3-光伏场景1,max,44.21697480464732,672.388151464288,780.8399999999999,0.0,0.0,0.861108743743005,1.1612935152107184,0.0,0.26110874374300497,0.8612935152107184,0.2,full,175581.9749825502,182619.01201958724,3970.9178603529444,4130.065723094052,20.0,5.0,103.88975801852675,0.0
P4_storage,风电场景3-光伏场景2,max,33.31408379063093,521.5648257703945,522.28,0.0,0.0,0.9986306689331288,1.0013712087055509,0.0,0.3986306689331288,0.7013712087055508,0.2,full,126372.38706817554,133409.42410521256,3793.3622266903167,4004.5953220160864,20.0,5.0,0.0,0.0
P4_storage,风电场景3-光伏场景3,max,21.383132530120484,356.52,356.52000000000004,0.0,0.0,0.9999999999999999,1.0000000000000002,0.0,0.3999999999999999,0.7000000000000002,0.2,full,86584.3373493976,93621.37438643463,4049.1886409736308,4378.281538243224,20.0,5.0,0.0,0.0
P4_storage,风电场景3-光伏场景4,max,16.710361445783132,291.88,291.88,0.0,0.0,1.0,1.0,0.0,0.4,0.7,0.2,full,71034.91277108435,78071.94980812138,4250.950106708197,4672.06828897306,20.0,5.0,0.0,0.0
P4_storage,风电场景4-光伏场景1,max,47.6905664648928,720.4395027643504,876.924,0.0,0.0,0.8215529541492198,1.217206991892051,0.0,0.22155295414921983,0.9172069918920509,0.2,full,195787.36800795287,202824.40504498992,4105.36889202356,4252.925055824158,20.0,5.0,151.16175535563553,0.0
